GENE_ID,TFBS,TRANSCRIPTS,AVERAGES
1,0.0,2,0.0
2,0.0,2,0.0
3,0.0,1,0.0
9,10.0,9,1.1111111111111112
10,1.0,1,1.0
12,0.0,7,0.0
13,1.0,1,1.0
14,2.0,2,1.0
15,1.0,3,0.3333333333333333
16,0.0,2,0.0
18,2.0,4,0.5
19,0.0,2,0.0
20,0.0,9,0.0
21,3.0,4,0.75
22,10.0,5,2.0
23,0.0,21,0.0
24,0.0,4,0.0
25,0.0,2,0.0
26,2.0,3,0.6666666666666666
27,0.0,10,0.0
28,0.0,4,0.0
29,2.0,8,0.25
30,0.0,2,0.0
31,9.0,12,0.75
32,1.0,5,0.2
33,2.0,2,1.0
34,16.0,9,1.7777777777777777
35,2.0,2,1.0
36,2.0,2,1.0
37,0.0,5,0.0
38,0.0,3,0.0
39,1.0,3,0.3333333333333333
40,0.0,2,0.0
41,3.0,6,0.5
43,7.0,7,1.0
47,0.0,5,0.0
48,4.0,4,1.0
49,0.0,2,0.0
50,1.0,1,1.0
51,4.0,4,1.0
52,0.0,5,0.0
53,9.0,9,1.0
54,4.0,5,0.8
55,0.0,3,0.0
56,0.0,4,0.0
58,0.0,1,0.0
59,1.0,4,0.25
60,1.0,3,0.3333333333333333
70,1.0,1,1.0
71,0.0,3,0.0
72,0.0,4,0.0
81,0.0,3,0.0
86,0.0,3,0.0
87,1.0,8,0.125
88,5.0,4,1.25
89,2.0,2,1.0
90,1.0,3,0.3333333333333333
91,4.0,5,0.8
92,0.0,3,0.0
93,2.0,2,1.0
94,0.0,4,0.0
95,18.0,6,3.0
97,0.0,2,0.0
98,0.0,1,0.0
100,0.0,1,0.0
101,0.0,5,0.0
102,0.0,5,0.0
103,9.0,8,1.125
104,1.0,11,0.09090909090909091
105,6.0,4,1.5
107,0.0,2,0.0
108,2.0,3,0.6666666666666666
109,0.0,3,0.0
111,1.0,4,0.25
112,0.0,4,0.0
113,6.0,3,2.0
114,0.0,2,0.0
115,0.0,1,0.0
116,1.0,2,0.5
117,0.0,6,0.0
118,8.0,8,1.0
119,5.0,7,0.7142857142857143
120,5.0,6,0.8333333333333334
123,0.0,3,0.0
124,0.0,2,0.0
125,4.0,4,1.0
126,2.0,1,2.0
127,2.0,2,1.0
128,0.0,2,0.0
130,4.0,4,1.0
131,0.0,2,0.0
132,2.0,4,0.5
133,0.0,1,0.0
134,0.0,5,0.0
135,0.0,8,0.0
136,0.0,1,0.0
140,0.0,3,0.0
141,0.0,4,0.0
142,1.0,1,1.0
143,2.0,2,1.0
146,0.0,1,0.0
147,0.0,1,0.0
148,0.0,8,0.0
150,0.0,1,0.0
151,0.0,1,0.0
152,0.0,1,0.0
153,1.0,1,1.0
154,0.0,1,0.0
155,0.0,1,0.0
156,0.0,1,0.0
157,4.0,4,1.0
158,0.0,3,0.0
159,2.0,2,1.0
160,2.0,5,0.4
161,0.0,4,0.0
162,6.0,5,1.2
163,4.0,7,0.5714285714285714
164,0.0,7,0.0
165,0.0,3,0.0
166,0.0,4,0.0
167,5.0,3,1.6666666666666667
172,7.0,12,0.5833333333333334
173,0.0,1,0.0
174,3.0,3,1.0
175,0.0,4,0.0
176,0.0,4,0.0
177,175.0,175,1.0
178,0.0,6,0.0
181,1.0,1,1.0
182,3.0,2,1.5
183,2.0,2,1.0
185,0.0,5,0.0
186,0.0,1,0.0
187,0.0,2,0.0
189,4.0,3,1.3333333333333333
190,0.0,1,0.0
191,0.0,3,0.0
196,2.0,1,2.0
197,0.0,2,0.0
199,18.0,24,0.75
202,1.0,2,0.5
203,0.0,1,0.0
204,12.0,6,2.0
205,0.0,4,0.0
207,1.0,7,0.14285714285714285
208,5.0,7,0.7142857142857143
210,0.0,3,0.0
211,0.0,4,0.0
212,3.0,3,1.0
213,7.0,4,1.75
214,8.0,7,1.1428571428571428
215,1.0,1,1.0
216,2.0,3,0.6666666666666666
217,2.0,2,1.0
218,0.0,6,0.0
219,1.0,1,1.0
220,2.0,2,1.0
221,0.0,5,0.0
222,4.0,3,1.3333333333333333
223,4.0,4,1.0
224,0.0,4,0.0
225,0.0,1,0.0
226,3.0,7,0.42857142857142855
229,0.0,1,0.0
230,0.0,1,0.0
231,3.0,1,3.0
238,1.0,3,0.3333333333333333
239,2.0,2,1.0
240,0.0,4,0.0
241,0.0,2,0.0
242,0.0,1,0.0
244,0.0,5,0.0
245,3.0,3,1.0
246,0.0,3,0.0
247,0.0,5,0.0
248,2.0,2,1.0
249,0.0,5,0.0
250,0.0,1,0.0
251,0.0,1,0.0
257,1.0,1,1.0
258,3.0,1,3.0
259,1.0,3,0.3333333333333333
262,5.0,5,1.0
265,3.0,3,1.0
266,0.0,2,0.0
267,0.0,2,0.0
268,0.0,1,0.0
269,1.0,4,0.25
270,0.0,2,0.0
271,3.0,8,0.375
272,0.0,8,0.0
273,2.0,5,0.4
274,0.0,13,0.0
275,0.0,7,0.0
276,15.0,6,2.5
279,0.0,2,0.0
280,7.0,4,1.75
283,0.0,2,0.0
